"","type","num","DRAR7","DRAR8","sum","%R7","%R8","%Total","%Total_R7","%Total_R8"
"1","Dm-DRA1",20,212,0,212,100,0,15.9,25.3,0
"2","Dm9",6,95,115,210,45.2,54.8,15.7,11.3,23
"3","MeTu_DRA",32,185,0,185,100,0,13.8,22.1,0
"4","R7_DRA",3,1,108,109,0.9,99.1,8.2,0.1,21.6
"5","Dm-DRA2",10,3,105,108,2.8,97.2,8.1,0.4,21
"7","Dm2",6,23,29,52,44.2,55.8,3.9,2.7,5.8
"8","R8_DRA",3,41,1,42,97.6,2.4,3.1,4.9,0.2
"9","Mi15",4,21,18,39,53.8,46.2,2.9,2.5,3.6
"10","Mti_DRA_1",6,37,0,37,100,0,2.8,4.4,0
"11","MeMe_DRA",2,36,0,36,100,0,2.7,4.3,0
"12","VPN_DRA",10,34,0,34,100,0,2.5,4.1,0
"13","L3",5,17,17,34,50,50,2.5,2,3.4
"14","MeTu",6,18,0,18,100,0,1.3,2.2,0
"15","L1",3,9,9,18,50,50,1.3,1.1,1.8
"16","Tm20",3,0,16,16,0,100,1.2,0,3.2
"17","Mti_DRA_2",4,15,0,15,100,0,1.1,1.8,0
"18","Mi9",4,0,15,15,0,100,1.1,0,3
"19","Mi1",3,6,9,15,40,60,1.1,0.7,1.8
"20","Tm5-like",2,2,12,14,14.3,85.7,1,0.2,2.4
"21","Dm11",1,4,8,12,33.3,66.7,0.9,0.5,1.6
"22","Dm",3,5,1,6,83.3,16.7,0.4,0.6,0.2
"23","aMe12",2,5,1,6,83.3,16.7,0.4,0.6,0.2
"24","C2",2,3,2,5,60,40,0.4,0.4,0.4
"25","MeTu_unknown",1,4,0,4,100,0,0.3,0.5,0
"26","L2",2,3,1,4,75,25,0.3,0.4,0.2
"27","TmY",1,0,3,3,0,100,0.2,0,0.6
"28","Mt_DRA_2",3,3,0,3,100,0,0.2,0.4,0
"29","ML_VPN2",1,3,0,3,100,0,0.2,0.4,0
"30","T2",1,1,0,1,100,0,0.1,0.1,0
"31","Mi4",1,0,1,1,0,100,0.1,0,0.2
"32","Dm3",1,0,1,1,0,100,0.1,0,0.2
"33","C3",1,0,1,1,0,100,0.1,0,0.2
"110","Identified_<3",0,0,0,0,0,0,0,0,0
"6","Unidentified_>=3",59,51,26,77,66.2,33.8,5.8,6.1,5.2
"111","Unidentified_<3",0,0,0,0,0,0,0,0,0
"34","Total",211,837,499,1336,62.6,37.4,100,100,100
