"","type","num","pR7","yR7","pR8","yR8","sum","%R7","%R8","%p","%y","%Total","%Total_R7","%Total_R8","%Total_p","%Total_y"
"1","Dm9",6,94,66,142,143,445,36,64,53,47,16.4,13.5,18.8,17.2,15.7
"2","Dm8",15,235,161,0,0,396,100,0,59.3,40.7,14.6,33.4,0,17.1,12.1
"3","MeTu",9,82,96,0,0,178,100,0,46.1,53.9,6.6,15,0,6,7.2
"4","R7",5,0,3,75,82,160,1.9,98.1,46.9,53.1,5.9,0.3,10.3,5.5,6.4
"5","Tm5c",6,8,9,20,103,140,12.1,87.9,20,80,5.2,1.4,8.1,2,8.4
"6","Tm20",4,5,3,67,65,140,5.7,94.3,51.4,48.6,5.2,0.7,8.7,5.2,5.1
"7","Mi15",4,6,7,38,81,132,9.8,90.2,33.3,66.7,4.9,1.1,7.8,3.2,6.6
"8","Mi4",4,0,0,58,58,116,0,100,50,50,4.3,0,7.6,4.2,4.4
"9","ML1",4,0,0,58,41,99,0,100,58.6,41.4,3.7,0,6.5,4.2,3.1
"10","Dm2",5,20,3,60,15,98,23.5,76.5,81.6,18.4,3.6,1.9,4.9,5.8,1.4
"12","Dm11",3,28,29,4,4,65,87.7,12.3,49.2,50.8,2.4,4.8,0.5,2.3,2.5
"13","L3",4,19,17,12,13,61,59,41,50.8,49.2,2.3,3,1.6,2.3,2.3
"14","Mi1",5,0,0,32,28,60,0,100,53.3,46.7,2.2,0,3.9,2.3,2.1
"15","R8",4,31,26,1,0,58,98.3,1.7,55.2,44.8,2.1,4.8,0.1,2.3,2
"16","Tm",18,17,11,11,18,57,49.1,50.9,49.1,50.9,2.1,2.4,1.9,2,2.2
"17","Tm5a",2,0,53,0,0,53,100,0,0,100,2,4.5,0,0,4
"18","Tm5b",2,39,0,3,6,48,81.2,18.8,87.5,12.5,1.8,3.3,0.6,3.1,0.4
"19","Tm5b-like",3,0,14,0,27,41,34.1,65.9,0,100,1.5,1.2,1.8,0,3.1
"20","Mi9",4,3,9,26,1,39,30.8,69.2,74.4,25.6,1.4,1,1.8,2.1,0.8
"21","L1",4,2,1,21,14,38,7.9,92.1,60.5,39.5,1.4,0.3,2.3,1.7,1.1
"22","Dm",9,14,8,7,5,34,64.7,35.3,61.8,38.2,1.3,1.9,0.8,1.5,1
"23","aMe12",2,4,0,26,0,30,13.3,86.7,100,0,1.1,0.3,1.7,2.2,0
"24","C2",3,7,13,8,0,28,71.4,28.6,53.6,46.4,1,1.7,0.5,1.1,1
"25","ML_VPN1",3,0,0,26,1,27,0,100,96.3,3.7,1,0,1.8,1.9,0.1
"26","Mt_VPN",5,0,12,5,8,25,48,52,20,80,0.9,1,0.9,0.4,1.5
"27","Mti",3,2,0,10,7,19,10.5,89.5,63.2,36.8,0.7,0.2,1.1,0.9,0.5
"28","Tm5a-like",1,0,1,0,16,17,5.9,94.1,0,100,0.6,0.1,1.1,0,1.3
"29","TmY10",1,1,0,6,0,7,14.3,85.7,100,0,0.3,0.1,0.4,0.5,0
"30","Mi10",1,0,0,0,5,5,0,100,0,100,0.2,0,0.3,0,0.4
"31","Mi",1,2,1,0,0,3,100,0,66.7,33.3,0.1,0.3,0,0.1,0.1
"32","C3",1,0,0,0,3,3,0,100,0,100,0.1,0,0.2,0,0.2
"33","ML_VPN2",1,0,0,0,2,2,0,100,0,100,0.1,0,0.1,0,0.1
"34","Tm3",1,0,1,0,0,1,100,0,0,100,0,0.1,0,0,0.1
"35","Tm1",1,0,0,1,0,1,0,100,100,0,0,0,0.1,0.1,0
"36","T1",1,0,0,1,0,1,0,100,100,0,0,0,0.1,0.1,0
"37","Mi14",1,0,0,1,0,1,0,100,100,0,0,0,0.1,0.1,0
"38","LaWF1",1,0,0,1,0,1,0,100,100,0,0,0,0.1,0.1,0
"110","Identified_<3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Unidentified_>=3",64,9,15,27,27,78,30.8,69.2,46.2,53.8,2.9,2,3.6,2.6,3.2
"121","Unidentified_<3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Total",211,628,559,747,773,2707,43.8,56.2,50.8,49.2,100,100,100,100,100
