"name","skid","pR7a","pR7b","yR7a","yR7b","pR8a","pR8b","yR8a","yR8b","total","%R7","%R8","%p","%y"
"Putative MeTu 10409864 MF","10409863",22,13,17,12,0,0,0,0,64,100,0,54.7,45.3
"Putative MeTu 11455123 CL","11455122",0,21,4,14,0,0,0,0,39,100,0,53.8,46.2
"Putative MeTu 11455157 CL","11455156",6,9,9,12,0,0,0,0,36,100,0,41.7,58.3
"Putative MeTu 10409693 MF","10409692",11,0,6,0,0,0,0,0,17,100,0,64.7,35.3
"Putative MeTu 11448396 MF","11448395",0,0,8,4,0,0,0,0,12,100,0,0,100
"Putative MeTu 11455113 CL","11455112",0,0,0,4,0,0,0,0,4,100,0,0,100
"Putative MeTu 11499694 CL","11499693",0,0,3,0,0,0,0,0,3,100,0,0,100
"Putative MeTu 14838260 AT","14838259",0,0,2,0,0,0,0,0,2,100,0,0,100
"Putative MeTu 10656251 MF","10656250",0,0,0,1,0,0,0,0,1,100,0,0,100
"Total","",39,43,49,47,0,0,0,0,178,100,0,46.1,53.9
